Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.20,-.26,-.09,-.17,-.10,-.22,-.20,-.10,-.15,-.23,-.22,-.19,-.18,***,***,-.12,-.17,-.20
1881,-.20,-.15,.02,.04,.07,-.19,.01,-.04,-.16,-.22,-.19,-.07,-.09,-.10,-.18,.04,-.07,-.19
1882,.16,.14,.04,-.16,-.14,-.22,-.16,-.07,-.14,-.24,-.17,-.36,-.11,-.09,.07,-.08,-.15,-.18
1883,-.29,-.37,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.12,-.24,-.11,-.18,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.08,-.37,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.31,-.29
1885,-.58,-.34,-.27,-.42,-.45,-.44,-.34,-.31,-.28,-.24,-.24,-.11,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.34,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.30,-.35,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-.34,-.29,-.30
1888,-.34,-.36,-.42,-.21,-.22,-.17,-.10,-.16,-.12,.01,.02,-.04,-.18,-.20,-.35,-.28,-.14,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.20,-.24,-.26,-.34,-.29,-.11,-.09,.01,.05,-.13,-.28
1890,-.42,-.45,-.40,-.30,-.40,-.25,-.28,-.39,-.37,-.25,-.44,-.32,-.36,-.35,-.39,-.37,-.31,-.35
1891,-.34,-.47,-.19,-.28,-.17,-.21,-.18,-.18,-.16,-.22,-.32,-.04,-.23,-.25,-.38,-.21,-.19,-.23
1892,-.30,-.12,-.40,-.34,-.23,-.22,-.32,-.27,-.17,-.14,-.43,-.39,-.28,-.25,-.15,-.32,-.27,-.25
1893,-.81,-.57,-.23,-.28,-.34,-.26,-.14,-.26,-.23,-.19,-.19,-.32,-.32,-.32,-.59,-.28,-.22,-.20
1894,-.53,-.29,-.24,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.22,-.31,-.32,-.38,-.33,-.30,-.26
1895,-.42,-.43,-.33,-.22,-.28,-.21,-.17,-.18,-.13,-.11,-.18,-.15,-.23,-.24,-.36,-.28,-.19,-.14
1896,-.23,-.13,-.27,-.31,-.16,-.11,-.03,-.06,-.08,.05,-.05,-.05,-.12,-.13,-.17,-.25,-.07,-.02
1897,-.16,-.17,-.14,-.03,-.02,-.12,-.03,-.10,-.09,-.13,-.18,-.21,-.12,-.10,-.13,-.06,-.08,-.14
1898,-.03,-.31,-.52,-.31,-.31,-.20,-.23,-.27,-.22,-.35,-.39,-.24,-.28,-.28,-.18,-.38,-.23,-.32
1899,-.17,-.39,-.37,-.21,-.23,-.32,-.16,-.09,-.05,-.05,.12,-.27,-.18,-.18,-.27,-.27,-.19,.01
1900,-.36,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.06,.09,-.07,-.07,-.09,-.10,-.23,-.06,-.11,-.01
1901,-.22,-.11,.05,-.03,-.15,-.12,-.15,-.21,-.23,-.30,-.17,-.27,-.16,-.14,-.14,-.04,-.16,-.23
1902,-.16,-.09,-.27,-.28,-.33,-.31,-.28,-.30,-.29,-.30,-.37,-.42,-.29,-.27,-.18,-.29,-.30,-.32
1903,-.25,-.06,-.24,-.42,-.40,-.43,-.35,-.46,-.50,-.47,-.42,-.51,-.38,-.37,-.24,-.35,-.41,-.46
1904,-.63,-.59,-.51,-.51,-.52,-.49,-.51,-.49,-.56,-.40,-.18,-.34,-.48,-.49,-.58,-.51,-.50,-.38
1905,-.36,-.60,-.22,-.34,-.30,-.29,-.27,-.21,-.19,-.26,-.08,-.13,-.27,-.29,-.43,-.29,-.25,-.18
1906,-.28,-.29,-.18,-.05,-.26,-.19,-.23,-.20,-.29,-.21,-.38,-.15,-.23,-.22,-.23,-.16,-.21,-.29
1907,-.43,-.50,-.27,-.37,-.47,-.42,-.35,-.34,-.35,-.23,-.47,-.47,-.39,-.36,-.36,-.37,-.37,-.35
1908,-.45,-.33,-.56,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.52,-.49,-.43,-.43,-.42,-.46,-.40,-.44
1909,-.73,-.46,-.54,-.59,-.55,-.52,-.45,-.34,-.39,-.40,-.32,-.56,-.49,-.48,-.56,-.56,-.44,-.37
1910,-.43,-.41,-.51,-.43,-.34,-.39,-.34,-.37,-.39,-.41,-.58,-.68,-.44,-.43,-.47,-.42,-.36,-.46
1911,-.63,-.58,-.61,-.54,-.52,-.51,-.42,-.44,-.41,-.27,-.22,-.21,-.45,-.49,-.63,-.56,-.46,-.30
1912,-.25,-.14,-.38,-.18,-.21,-.24,-.43,-.54,-.58,-.58,-.39,-.43,-.36,-.34,-.20,-.26,-.40,-.52
1913,-.41,-.45,-.43,-.40,-.44,-.45,-.36,-.34,-.35,-.33,-.20,-.03,-.35,-.38,-.43,-.42,-.39,-.29
1914,.04,-.10,-.24,-.30,-.21,-.26,-.23,-.16,-.17,-.04,-.16,-.04,-.15,-.15,-.03,-.25,-.22,-.12
1915,-.21,-.04,-.10,.06,-.06,-.22,-.13,-.23,-.20,-.25,-.13,-.21,-.14,-.13,-.10,-.03,-.19,-.19
1916,-.13,-.15,-.29,-.31,-.35,-.49,-.37,-.28,-.36,-.34,-.46,-.82,-.36,-.31,-.16,-.32,-.38,-.39
1917,-.57,-.63,-.63,-.55,-.55,-.44,-.25,-.22,-.23,-.44,-.34,-.68,-.46,-.47,-.67,-.58,-.30,-.34
