Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.54,-.24,-.31,-.06,-.18,-.22,-.26,-.25,-.31,-.44,-.43,-.30,***,***,-.20,-.22,-.33
1881,-.31,-.25,-.06,-.02,.05,-.34,.09,-.06,-.29,-.45,-.37,-.23,-.19,-.20,-.33,-.01,-.10,-.37
1882,.26,.21,.02,-.30,-.23,-.29,-.28,-.15,-.25,-.52,-.34,-.69,-.21,-.18,.08,-.17,-.24,-.37
1883,-.58,-.66,-.15,-.30,-.26,-.12,-.06,-.23,-.34,-.17,-.45,-.15,-.29,-.33,-.64,-.24,-.14,-.32
1884,-.16,-.11,-.64,-.59,-.36,-.42,-.41,-.52,-.45,-.45,-.58,-.47,-.43,-.40,-.14,-.53,-.45,-.50
1885,-1.00,-.46,-.24,-.49,-.58,-.45,-.34,-.42,-.40,-.37,-.39,-.12,-.44,-.47,-.65,-.44,-.40,-.39
1886,-.75,-.84,-.71,-.37,-.34,-.37,-.14,-.43,-.33,-.32,-.41,-.23,-.44,-.43,-.57,-.47,-.32,-.35
1887,-1.09,-.71,-.45,-.39,-.26,-.22,-.25,-.56,-.22,-.50,-.28,-.43,-.44,-.43,-.67,-.37,-.34,-.33
1888,-.49,-.62,-.64,-.22,-.16,-.03,-.01,-.22,-.20,-.04,-.01,-.24,-.24,-.26,-.51,-.34,-.09,-.09
1889,-.28,.28,-.02,.16,-.04,-.07,-.09,-.21,-.31,-.42,-.62,-.55,-.18,-.16,-.08,.03,-.12,-.45
1890,-.64,-.58,-.48,-.26,-.36,-.16,-.24,-.40,-.36,-.11,-.63,-.48,-.39,-.40,-.59,-.36,-.27,-.37
1891,-.47,-.68,-.17,-.36,-.16,-.14,-.13,-.14,-.09,-.29,-.54,-.03,-.27,-.30,-.54,-.23,-.13,-.30
1892,-.51,-.19,-.67,-.46,-.24,-.06,-.38,-.34,-.22,-.28,-.83,-.68,-.40,-.35,-.24,-.45,-.26,-.44
1893,-1.51,-.97,-.33,-.31,-.44,-.19,-.15,-.35,-.30,-.29,-.34,-.62,-.48,-.49,-1.05,-.36,-.23,-.31
1894,-.92,-.43,-.22,-.55,-.27,-.42,-.21,-.28,-.33,-.29,-.49,-.37,-.40,-.42,-.66,-.35,-.30,-.37
1895,-.71,-.82,-.51,-.20,-.31,-.22,-.20,-.29,-.07,-.11,-.14,-.24,-.32,-.33,-.63,-.34,-.24,-.11
1896,-.38,-.19,-.51,-.61,-.18,.06,-.01,-.13,-.14,.03,-.22,-.23,-.21,-.21,-.27,-.43,-.03,-.11
1897,-.41,-.43,-.41,-.06,.12,-.07,.03,-.07,-.07,-.17,-.27,-.30,-.18,-.17,-.36,-.12,-.04,-.17
1898,.04,-.46,-.81,-.29,-.29,-.10,-.13,-.19,-.19,-.38,-.52,-.28,-.30,-.30,-.24,-.46,-.14,-.36
1899,-.14,-.65,-.60,-.23,-.26,-.37,-.18,-.08,-.06,.03,.34,-.47,-.22,-.20,-.36,-.36,-.21,.11
1900,-.63,-.15,.05,-.11,-.05,-.11,-.12,-.09,-.04,.22,-.13,-.03,-.10,-.14,-.42,-.04,-.11,.02
1901,-.35,-.11,.26,.10,-.12,.00,.00,-.17,-.29,-.33,-.20,-.41,-.13,-.10,-.16,.08,-.05,-.27
1902,-.14,-.04,-.38,-.38,-.41,-.40,-.34,-.30,-.34,-.33,-.48,-.61,-.35,-.33,-.20,-.39,-.35,-.39
1903,-.24,.10,-.18,-.47,-.44,-.47,-.44,-.56,-.50,-.47,-.42,-.58,-.39,-.39,-.25,-.36,-.49,-.46
1904,-.76,-.62,-.46,-.51,-.45,-.49,-.60,-.55,-.64,-.40,-.10,-.35,-.49,-.51,-.65,-.47,-.55,-.38
1905,-.42,-.83,-.24,-.46,-.30,-.29,-.22,-.25,-.20,-.28,.08,-.18,-.30,-.31,-.53,-.33,-.25,-.14
1906,-.56,-.52,-.20,.04,-.25,-.12,-.27,-.17,-.25,-.19,-.40,.03,-.24,-.26,-.42,-.14,-.19,-.28
1907,-.58,-.71,-.30,-.45,-.59,-.52,-.42,-.40,-.41,-.21,-.57,-.59,-.48,-.43,-.42,-.45,-.44,-.40
1908,-.54,-.28,-.72,-.48,-.29,-.30,-.36,-.57,-.32,-.46,-.64,-.56,-.46,-.46,-.47,-.50,-.41,-.47
1909,-.94,-.46,-.67,-.66,-.50,-.52,-.46,-.37,-.38,-.35,-.12,-.58,-.50,-.50,-.65,-.61,-.45,-.29
1910,-.36,-.37,-.50,-.42,-.30,-.45,-.38,-.40,-.44,-.32,-.62,-.82,-.45,-.43,-.44,-.41,-.41,-.46
1911,-.70,-.59,-.64,-.46,-.46,-.35,-.39,-.44,-.39,-.20,-.21,-.30,-.43,-.47,-.71,-.52,-.40,-.26
1912,-.35,-.17,-.61,-.17,-.13,-.15,-.53,-.78,-.81,-.85,-.52,-.58,-.47,-.45,-.28,-.30,-.48,-.73
1913,-.57,-.65,-.48,-.51,-.55,-.50,-.52,-.48,-.43,-.40,-.16,.10,-.43,-.48,-.60,-.51,-.50,-.33
1914,.17,-.11,-.36,-.39,-.19,-.23,-.34,-.29,-.30,-.02,-.23,-.06,-.20,-.18,.05,-.32,-.29,-.18
1915,-.27,-.09,-.24,.06,-.02,-.13,-.11,-.17,-.22,-.28,-.04,-.25,-.15,-.13,-.14,-.07,-.14,-.18
1916,-.10,-.18,-.39,-.35,-.38,-.51,-.35,-.38,-.50,-.36,-.47,-1.14,-.43,-.35,-.18,-.38,-.41,-.45
1917,-.53,-.69,-.75,-.65,-.74,-.50,-.33,-.41,-.32,-.64,-.33,-1.07,-.58,-.59,-.79,-.71,-.41,-.43
1918,-.70,-.47,-.26,-.60,-.50,-.46,-.35,-.38,-.26,-.06,-.23,-.57,-.40,-.44,-.75,-.45,-.40,-.18
1919,-.39,-.40,-.39,-.24,-.42,-.40,-.34,-.31,-.20,-.10,-.48,-.56,-.35,-.35,-.45,-.35,-.35,-.26
1920,-.15,-.29,.00,-.21,-.21,-.26,-.25,-.31,-.35,-.40,-.46,-.72,-.30,-.29,-.34,-.14,-.28,-.40
1921,.18,-.09,-.12,-.17,-.25,-.14,-.04,-.30,-.19,-.01,-.12,-.13,-.12,-.16,-.21,-.18,-.16,-.10
1922,-.39,-.63,-.11,-.16,-.18,-.15,-.28,-.37,-.42,-.31,-.13,-.16,-.27,-.27,-.39,-.15,-.27,-.29
1923,-.17,-.47,-.39,-.53,-.39,-.24,-.30,-.29,-.18,.05,.15,.11,-.22,-.24,-.27,-.44,-.28,.01
1924,-.27,-.20,.02,-.26,-.06,-.19,-.22,-.27,-.23,-.24,.12,-.37,-.18,-.14,-.12,-.10,-.23,-.12
1925,-.26,-.36,-.22,-.16,-.21,-.26,-.26,-.20,-.05,-.10,.23,.23,-.14,-.19,-.33,-.20,-.24,.03
1926,.54,.19,.38,-.13,-.22,-.20,-.19,-.06,-.03,.06,.17,-.30,.02,.06,.32,.01,-.15,.07
1927,-.27,-.07,-.46,-.27,-.14,-.14,-.08,-.16,.03,.25,.11,-.37,-.13,-.13,-.21,-.29,-.13,.13
1928,.25,.07,-.23,-.31,-.17,-.32,-.11,-.19,-.15,-.09,.03,-.04,-.10,-.13,-.02,-.23,-.21,-.07
1929,-.55,-.78,-.18,-.34,-.26,-.38,-.35,-.20,-.21,-.02,-.02,-.66,-.33,-.28,-.46,-.26,-.31,-.08
1930,-.11,-.18,.12,-.14,-.19,-.11,-.03,.02,-.02,.03,.44,.09,-.01,-.07,-.32,-.07,-.04,.15
1931,.01,-.22,-.05,-.19,-.13,.16,.09,.10,.18,.38,.27,.11,.06,.06,-.04,-.12,.11,.28
1932,.40,-.17,-.20,.11,-.09,-.13,-.13,-.06,.12,.15,-.31,-.21,-.04,-.02,.11,-.06,-.11,-.01
1933,-.17,-.29,-.30,-.16,-.24,-.30,-.13,-.13,-.27,-.16,-.23,-.53,-.24,-.22,-.22,-.23,-.19,-.22
1934,-.12,.34,-.26,-.28,.09,-.01,-.03,-.09,-.13,.14,.28,.17,.01,-.05,-.11,-.15,-.04,.09
1935,-.40,.58,.05,-.34,-.27,-.14,-.03,-.06,-.04,.13,-.30,-.16,-.08,-.06,.12,-.19,-.08,-.07
1936,-.28,-.48,-.11,-.04,.01,.04,.09,.03,.07,.08,.15,.15,-.03,-.05,-.31,-.05,.05,.10
1937,.09,.24,-.23,-.06,.12,.15,.15,.16,.28,.33,.24,-.01,.12,.13,.16,-.06,.15,.28
1938,.35,.29,.34,.32,.03,-.07,-.02,.08,.15,.31,.31,-.13,.16,.17,.21,.23,.00,.26
1939,.03,-.01,-.24,-.08,.01,.00,.05,.08,.12,.07,.25,.77,.09,.01,-.03,-.10,.05,.15
1940,-.10,.14,.03,.28,.16,.17,.15,.07,.26,.28,.30,.36,.17,.21,.27,.16,.13,.28
1941,.18,.47,.13,.13,.23,.21,.25,.19,.10,.50,.18,.19,.23,.24,.33,.16,.22,.26
1942,.40,-.09,.00,.09,.17,.10,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.09,.01,.21
1943,-.09,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.38,.18,.17,.19,.18,.00,.32
1944,.63,.44,.32,.19,.24,.17,.15,.17,.36,.44,.19,.00,.27,.30,.48,.25,.16,.33
1945,.11,-.06,.10,.29,.08,.08,.07,.28,.20,.24,.09,-.21,.11,.12,.02,.16,.14,.18
1946,.35,.09,.12,.32,.03,-.05,-.04,-.10,-.03,.02,.07,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.00,-.03,-.04,-.01,.40,.19,-.05,.08,.05,-.17,.19,-.02,.19
1948,.30,-.15,-.27,-.03,.17,.05,.01,.03,-.03,.08,.03,-.39,-.02,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.05,-.07,-.19,-.20,-.09,-.06,-.34,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.19,.07,.17,-.02,.08,.22,.34,.29,.08,.38,.04,.00,-.33,.02,.09,.23
1952,.17,.17,-.22,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.26,.41,.25,.25,.22,.18,.17,.27,.09,.23,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.31,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.26,-.22,-.29
