Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.02,.05,-.02,-.13,-.25,-.17,.06,-.05,-.15,-.01,.05,-.05,***,***,-.03,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.02,-.04,-.01,-.01,.09,.00,-.01,-.04,.09,-.05,-.02
1882,.06,.07,.07,-.02,-.04,-.15,-.04,.01,-.05,.03,-.02,-.08,-.01,.00,.07,.00,-.06,-.01
1883,-.03,-.09,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.05,-.07
1884,-.09,-.06,-.11,-.22,-.32,-.29,-.22,-.07,-.11,-.07,-.11,-.16,-.15,-.14,-.07,-.22,-.19,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.33,-.22,-.19,-.13,-.12,-.10,-.25,-.25,-.20,-.33,-.33,-.15
1886,-.15,-.20,-.17,-.20,-.15,-.32,-.21,-.19,-.15,-.24,-.16,-.29,-.20,-.19,-.15,-.18,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.37,-.31,-.24,-.26
1888,-.21,-.13,-.21,-.20,-.29,-.31,-.20,-.09,-.04,.06,.06,.15,-.12,-.15,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.02,.08,.06,-.13,-.11
1890,-.21,-.33,-.34,-.35,-.43,-.33,-.32,-.39,-.38,-.40,-.25,-.17,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.22,-.26,-.20,-.20,-.17,-.29,-.23,-.22,-.24,-.16,-.11,-.06,-.20,-.20,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.23,-.38,-.25,-.21,-.13,-.01,-.03,-.12,-.16,-.15,-.07,-.20,-.28,-.06
1893,-.13,-.18,-.12,-.24,-.24,-.32,-.14,-.17,-.16,-.09,-.04,-.03,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.14,-.16,-.24,-.36,-.35,-.40,-.26,-.20,-.22,-.18,-.04,-.07,-.22,-.22,-.11,-.31,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.18,-.12,-.21,-.05,-.15,-.15,-.09,-.22,-.14,-.17
1896,-.09,-.07,-.04,-.01,-.15,-.28,-.04,.01,-.01,.09,.12,.12,-.03,-.04,-.07,-.07,-.11,.06
1897,.09,.07,.12,.00,-.16,-.16,-.07,-.11,-.10,-.10,-.10,-.13,-.05,-.03,.10,-.01,-.11,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.25,-.32,-.26,-.21,-.27,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.10,-.05,-.12,-.09,-.06,-.14,-.15,-.18,-.18,-.17,-.09
1900,-.10,.03,-.05,-.08,-.13,-.08,-.13,-.07,-.06,-.02,.01,-.10,-.07,-.06,-.05,-.08,-.09,-.02
1901,-.11,-.12,-.14,-.15,-.18,-.24,-.29,-.24,-.16,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.25,-.18
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.21,-.30,-.23,-.27,-.26,-.23,-.22,-.21,-.16,-.20,-.24,-.25
1903,-.25,-.23,-.30,-.36,-.36,-.39,-.27,-.35,-.50,-.48,-.44,-.46,-.37,-.35,-.23,-.34,-.34,-.47
1904,-.52,-.57,-.57,-.51,-.59,-.48,-.42,-.43,-.47,-.39,-.26,-.32,-.46,-.47,-.52,-.56,-.44,-.37
1905,-.28,-.36,-.20,-.21,-.29,-.27,-.29,-.16,-.17,-.21,-.21,-.08,-.23,-.25,-.32,-.23,-.24,-.20
1906,.01,-.04,-.16,-.15,-.26,-.27,-.18,-.23,-.32,-.24,-.36,-.34,-.21,-.19,-.04,-.19,-.23,-.30
1907,-.28,-.30,-.24,-.29,-.34,-.32,-.29,-.29,-.28,-.25,-.36,-.35,-.30,-.30,-.30,-.29,-.30,-.30
1908,-.35,-.38,-.39,-.40,-.46,-.46,-.34,-.34,-.41,-.43,-.41,-.43,-.40,-.39,-.36,-.42,-.38,-.42
1909,-.51,-.46,-.41,-.52,-.59,-.51,-.45,-.32,-.41,-.46,-.53,-.55,-.48,-.47,-.47,-.51,-.43,-.46
1910,-.50,-.45,-.52,-.44,-.38,-.32,-.30,-.33,-.34,-.51,-.53,-.53,-.43,-.43,-.50,-.45,-.32,-.46
1911,-.54,-.57,-.58,-.62,-.58,-.66,-.46,-.44,-.44,-.34,-.23,-.11,-.46,-.50,-.55,-.60,-.52,-.33
1912,-.14,-.11,-.14,-.18,-.28,-.31,-.31,-.29,-.33,-.29,-.25,-.29,-.25,-.23,-.12,-.20,-.31,-.29
1913,-.25,-.25,-.38,-.29,-.32,-.40,-.20,-.20,-.26,-.24,-.24,-.14,-.26,-.28,-.26,-.33,-.26,-.25
1914,-.08,-.09,-.12,-.19,-.22,-.27,-.12,-.04,-.03,-.04,-.07,-.02,-.11,-.12,-.10,-.18,-.15,-.05
1915,-.13,.03,.05,.06,-.09,-.29,-.13,-.27,-.19,-.21,-.23,-.18,-.13,-.12,-.04,.01,-.23,-.21
1916,-.16,-.13,-.17,-.27,-.33,-.47,-.40,-.20,-.24,-.33,-.48,-.52,-.31,-.28,-.15,-.26,-.36,-.35
1917,-.63,-.59,-.53,-.46,-.39,-.38,-.18,-.06,-.16,-.27,-.36,-.29,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.27,-.24,-.25,-.30,-.37,-.28,-.28,-.26,-.09,-.06,.02,.00,-.20,-.22,-.27,-.31,-.28,-.04
1919,.00,-.05,-.03,-.02,-.13,-.31,-.24,-.37,-.31,-.31,-.35,-.28,-.20,-.18,-.02,-.06,-.31,-.32
1920,-.33,-.23,-.24,-.27,-.32,-.44,-.33,-.20,-.08,-.13,-.08,-.21,-.24,-.24,-.28,-.28,-.32,-.10
